X,Y,ELEV,ELEVATION
645039.790,4474510.520,1445.160034,1445.16
645040.860,4474507.390,1445.119995,1445.12
645040.740,4474500.320,1445.170044,1445.17
645041.820,4474496.740,1445.020020,1445.02
645041.650,4474490.240,1445.479980,1445.48
645042.790,4474486.660,1445.229980,1445.23
645043.330,4474479.940,1445.170044,1445.17
645044.740,4474476.470,1445.270020,1445.27
645045.830,4474469.510,1445.310059,1445.31
645047.510,4474465.980,1445.229980,1445.23
645022.030,4474517.220,1445.030029,1445.03
645023.360,4474511.570,1445.010010,1445.01
645023.100,4474506.770,1445.000000,1445
645024.390,4474501.000,1445.140015,1445.14
645024.190,4474496.170,1445.130005,1445.13
645025.760,4474490.590,1445.010010,1445.01
645025.570,4474485.760,1444.890015,1444.89
645027.170,4474480.280,1444.969971,1444.97
645027.250,4474475.470,1445.060059,1445.06
645029.000,4474469.970,1444.989990,1444.99
645029.440,4474464.970,1444.959961,1444.96
645031.670,4474459.620,1445.000000,1445
645032.260,4474454.750,1445.130005,1445.13
645034.470,4474449.310,1445.099976,1445.1
645035.020,4474444.610,1445.109985,1445.11
645037.200,4474439.260,1445.060059,1445.06
645009.990,4474515.520,1445.099976,1445.1
645010.970,4474512.390,1444.959961,1444.96
645011.170,4474505.860,1444.939941,1444.94
645012.510,4474502.800,1444.829956,1444.83
645012.990,4474496.400,1445.040039,1445.04
645014.360,4474493.300,1445.069946,1445.07
645015.020,4474486.910,1445.099976,1445.1
645016.390,4474483.820,1445.239990,1445.24
645017.250,4474477.450,1445.020020,1445.02
645018.710,4474474.360,1445.160034,1445.16
645019.540,4474467.920,1444.969971,1444.97
645021.000,4474464.830,1445.060059,1445.06
645021.810,4474458.390,1445.099976,1445.1
645023.310,4474455.320,1445.079956,1445.08
645024.060,4474449.010,1445.180054,1445.18
645025.410,4474445.930,1445.089966,1445.09
645025.970,4474439.690,1445.099976,1445.1
645027.330,4474436.670,1445.040039,1445.04
645002.610,4474518.870,1445.339966,1445.34
645003.320,4474515.690,1445.209961,1445.21
645002.730,4474510.110,1445.510010,1445.51
645003.560,4474507.070,1445.300049,1445.3
645003.430,4474501.600,1445.390015,1445.39
645004.500,4474498.820,1445.199951,1445.2
645004.610,4474493.370,1445.199951,1445.2
645005.710,4474490.700,1445.140015,1445.14
645006.320,4474484.780,1445.060059,1445.06
645007.690,4474482.070,1445.030029,1445.03
645008.770,4474476.040,1445.300049,1445.3
645010.270,4474473.190,1445.219971,1445.22
645011.580,4474467.260,1445.540039,1445.54
645013.000,4474464.260,1445.589966,1445.59
645014.370,4474458.340,1445.500000,1445.5
645015.820,4474455.430,1445.390015,1445.39
645017.180,4474449.500,1445.599976,1445.6
645018.660,4474446.490,1445.560059,1445.56
645019.680,4474440.530,1445.660034,1445.66
645020.920,4474437.380,1445.550049,1445.55
645048.500,4474571.380,1445.030029,1445.03
645047.940,4474571.280,1444.939941,1444.94
645047.440,4474571.170,1444.880005,1444.88
645046.940,4474571.060,1444.810059,1444.81
645046.440,4474570.960,1444.780029,1444.78
645045.870,4474570.850,1444.939941,1444.94
645045.370,4474570.750,1445.000000,1445
645044.880,4474570.650,1445.079956,1445.08
645044.310,4474570.520,1445.030029,1445.03
645043.810,4474570.380,1444.989990,1444.99
645043.250,4474570.250,1444.969971,1444.97
645042.620,4474570.120,1444.939941,1444.94
645042.060,4474570.020,1444.880005,1444.88
645041.500,4474569.910,1444.939941,1444.94
645041.000,4474569.790,1445.060059,1445.06
645040.370,4474569.650,1445.020020,1445.02
645039.810,4474569.520,1445.020020,1445.02
645039.310,4474569.400,1445.069946,1445.07
645038.750,4474569.280,1445.000000,1445
645038.250,4474569.160,1444.900024,1444.9
645037.750,4474569.050,1444.959961,1444.96
645037.250,4474568.940,1445.099976,1445.1
645036.690,4474568.810,1445.099976,1445.1
645036.190,4474568.680,1445.089966,1445.09
645035.690,4474568.580,1445.079956,1445.08
645035.120,4474568.490,1445.079956,1445.08
645034.500,4474568.410,1445.060059,1445.06
645034.000,4474568.340,1445.160034,1445.16
645033.380,4474568.290,1445.150024,1445.15
645032.750,4474568.240,1445.050049,1445.05
645032.120,4474568.190,1445.010010,1445.01
645031.500,4474568.120,1444.979980,1444.98
645030.880,4474568.050,1444.979980,1444.98
